name,firm_type,countries,check_size,stages,lead_status,thesis,value_add,typical_terms,reply_rate,profile_url,source_category
Horaizon Labs,VC firm,"Poland, Lithuania",$200k to $500k,"1. Idea or Patent, 2. Prototype",Always,"We invest in Deeptech, AI, ML, Biotech, Pharma, Saas, fintech, IoT, engineering, robotics, commercialization, PhD","We have a whole platform for our portfolio companies. It can be described as three main pillars - Tech, Sales, and Fundraising. In the tech aspect, we have a whole software engineering department on demand so you do not have to hire people immediately to scale fast. It is the same with sales aspect as we keep people and expertise to train and support sales processes until it can be streamlined. As for the funding, we help founders by providing vast network of later-stage VC world wide.",,,https://www.openvc.app/fund/Horaizon%20Labs,venture-capital-firms
Silicon Gardens,VC firm,"Slovenia, Croatia",$300k to $1.5M,"1. Idea or Patent, 2. Prototype",Sometimes,"We invest in exceptional early stage tech startups, primarily in marketplaces and other network effect businesses, B2B SaaS, B2C digital products, like mobile apps and games, and innovative D2C products. We primarily invest in founding teams from the Adria region (ex-Yugoslavia, including diaspora) and CEE.","We know the startup journey firsthand, so we understand the emotional, financial, and operational challenges that startups face. Beyond capital, we provide mentorship, connections, and hands-on support. We think like founders, act fast, and help you navigate the challenges of building something extraordinary.",,,https://www.openvc.app/fund/Silicon%20Gardens,venture-capital-firms
Prelude Ventures,VC firm,"Australia, Canada",$100k to $25M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in market-moving startups focused on carbon reduction and resource optimization to drive sustainability.,,,,https://www.openvc.app/fund/Prelude%20Ventures,venture-capital-firms
Kli Capital,VC firm,"Colombia, Ghana",$250k to $1M,"2. Prototype, 3. Early Revenue",Never,We invest in enterprise technology and consumer brands.,,,,https://www.openvc.app/fund/Kli%20Capital,venture-capital-firms
neoteq ventures,VC firm,Germany,$250k to $2M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in exceptional, technology-based companies.",,,,https://www.openvc.app/fund/neoteq%20ventures,venture-capital-firms
CSC Upshot,VC firm,"Brazil, Canada",$100k to $1.5M,"2. Prototype, 3. Early Revenue",Never,"We invest in early-stage technology companies, providing seed capital.",,,,https://www.openvc.app/fund/CSC%20Upshot,venture-capital-firms
VamosVentures,VC firm,USA,$25k to $1M,"2. Prototype, 3. Early Revenue",Never,"We invest in early-stage tech-enabled companies across fintech, health care, sustainability, and virtual workforce sectors.",,,,https://www.openvc.app/fund/VamosVentures,venture-capital-firms
ShangBay Capital,VC firm,USA,$100k to $1M,"1. Idea or Patent, 2. Prototype",Sometimes,We Invest in early stage medtech targeting unmet clinical needs/significantly improving on current standard of care,"Our firm adds value by leveraging deep industry expertise, strong partnerships with leading strategics and VCs, and a proven track record to help portfolio companies navigate multiple pathways to success. We offer precise deal access and hands-on support from a team of seasoned entrepreneurs and healthcare executives.",,,https://www.openvc.app/fund/ShangBay%20Capital,venture-capital-firms
Fortescue Ventures...,VC firm,"USA, UK",$1M to $7M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in Industrial Decarbonization, Energy Transition, Metals and Mining.","Engineering, manufacturing, supply chain and production support",,,https://www.openvc.app/fund/Fortescue%20Ventures%20%28ex.%20Foresight%20WAE%20technology%20fund%29,venture-capital-firms
AltaIR Capital,VC firm,"Australia, Austria",$100k to $5M,"2. Prototype, 3. Early Revenue",Never,"We invest in promising companies with disruptive ideas, focusing on fintech, insurtech, and productivity tools.",,,,https://www.openvc.app/fund/AltaIR%20Capital,venture-capital-firms
Draper Associates,VC firm,USA,$100k to $1M,"1. Idea or Patent, 2. Prototype",Sometimes,"We invest in AI, robotics, crypto, defense, aerospace, and healthcare","We backed Tesla when electric vehicles were seen as niche, SpaceX when privatized space travel was unheard of, and Coinbase when crypto was dismissed as a fad. Our job isn’t to follow trends; it’s to see what others don’t, to make early, high-conviction bets on companies and founders that will fundamentally reshape the world.",,,https://www.openvc.app/fund/Draper%20Associates,venture-capital-firms
MIRAISE,VC firm,"Estonia, Japan",$50k to $200k,"2. Prototype, 3. Early Revenue",Sometimes,We invest in early-stage software startups founded by programmers and engineers.,,,,https://www.openvc.app/fund/MIRAISE,venture-capital-firms
Maroon Venture Par...,VC firm,USA,$50k to $200k,3. Early Revenue,Sometimes,We invest in early-stage companies.,,,,https://www.openvc.app/fund/Maroon%20Venture%20Partners%20Fund,venture-capital-firms
ANIMO Ventures,VC firm,"Canada, USA",$500k to $2M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in early-stage companies, including fintech.",,,,https://www.openvc.app/fund/ANIMO%20Ventures,venture-capital-firms
Riot Ventures,VC firm,USA,$100k to $60M,"3. Early Revenue, 4. Scaling",Never,"We invest in deep tech, artificial intelligence, IoT, automation, telecommunications, mobility, and security.",,,,https://www.openvc.app/fund/Riot%20Ventures,venture-capital-firms
PureTerra Ventures,VC firm,"Netherlands, UK",$1M to $5M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in disruptive watertech and entrepreneurs who define the new era of water.,"We actively support our portfolio companies through commercial and entrepreneur mentorship, involvement in strategic decision making, and our vast network in the global stakeholders who use water.",,,https://www.openvc.app/fund/PureTerra%20Ventures,venture-capital-firms
UpVentures Capital,VC firm,"Israel, USA",$50k to $500k,"2. Prototype, 3. Early Revenue",Never,"We invest in early-stage through later-stage companies, focusing on various technology sectors.",,,,https://www.openvc.app/fund/UpVentures%20Capital,venture-capital-firms
Interlace Ventures,VC firm,"Canada, USA",$100k to $5M,"2. Prototype, 3. Early Revenue",Never,We invest in commerce.,,,,https://www.openvc.app/fund/Interlace%20Ventures,venture-capital-firms
Bek Ventures,VC firm,"Albania, Bosnia-H",$500k to $10M,"1. Idea or Patent, 2. Prototype",Sometimes,"We invest in AI, cybersecurity, B2C, DevTools, infrastructure software and SaaS/enterprise software. 
We seek to back the most ambitious founders with origins from Central and Eastern Europe as they scale from their earliest days to global scale.",Talent / Network / Hands-on Support,,,https://www.openvc.app/fund/Bek%20Ventures,venture-capital-firms
Capagro,VC firm,"France, Sweden",$1M to $10M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in agtech and foodtech companies.,,,,https://www.openvc.app/fund/Capagro,venture-capital-firms
Concrete Rose Capi...,VC firm,"Nigeria, USA",$100k to $5M,"2. Prototype, 3. Early Revenue",Never,We invest in early-stage companies serving underrepresented consumers.,,,,https://www.openvc.app/fund/Concrete%20Rose%20Capital,venture-capital-firms
Material Impact,VC firm,"UK, USA",$100k to $7M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in deep tech companies leveraging materials science.,,,,https://www.openvc.app/fund/Material%20Impact,venture-capital-firms
Oasis Capital,VC firm,USA,$50k to $500k,"1. Idea or Patent, 2. Prototype",Sometimes,"We invest in B2B & B2C with a focus on Arizona founders, at Pre-Seed, Seed, & Series A.","Oasis Capital is a hands-on pre-seed and seed partner. We support founders with customer and investor introductions, fundraising strategy, early GTM feedback, hiring support, and distribution through the Silicon Oasis community. Our goal is to provide real momentum beyond capital, especially in the critical early stages.",,,https://www.openvc.app/fund/Oasis%20Capital,venture-capital-firms
Dangerous Ventures,VC firm,"Canada, UK",$25k to $600k,"2. Prototype, 3. Early Revenue",Never,We invest in early-stage companies that build resilience for both people and the planet.,,,,https://www.openvc.app/fund/Dangerous%20Ventures,venture-capital-firms
Coalition Operator...,VC firm,USA,$100k to $5M,"3. Early Revenue, 4. Scaling",Never,We invest in early-stage small and medium businesses across various sectors.,,,,https://www.openvc.app/fund/Coalition%20Operators,venture-capital-firms
REMUS Capital,VC firm,"Finland, UK",$10k to $20M,"2. Prototype, 3. Early Revenue",Never,"We invest in early-stage companies driving digital transformation, particularly in agriculture, industrial manufacturing, and medicine.",,,,https://www.openvc.app/fund/REMUS%20Capital,venture-capital-firms
AME Cloud Ventures,VC firm,"Australia, Canada",$100k to $10M,"2. Prototype, 3. Early Revenue",Never,We invest in technology companies building infrastructure and value chains around data.,,,,https://www.openvc.app/fund/AME%20Cloud%20Ventures,venture-capital-firms
Osbon Capital Mana...,VC firm,USA,$50k to $1M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in solutions that help individuals achieve their financial and investment objectives.,,,,https://www.openvc.app/fund/Osbon%20Capital%20Management,venture-capital-firms
Redpoint Ventures ...,VC firm,"China, Nigeria",$250k to $3M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in early-stage companies within the TMT sector.,,,,https://www.openvc.app/fund/Redpoint%20Ventures%20China,venture-capital-firms
Synthesis Capital,VC firm,"Austria, Israel",$100k to $5M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in the future of food.,,,,https://www.openvc.app/fund/Synthesis%20Capital,venture-capital-firms
WorldQuant Venture...,VC firm,"Canada, India",$100k to $5M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in early stage companies.,,,,https://www.openvc.app/fund/WorldQuant%20Ventures%20LLC,venture-capital-firms
ZAS Ventures,VC firm,"Ukraine, USA",$50k to $200k,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in early-stage startups from Ukraine solving global challenges across SaaS, logistics, deeptech, healthtech, climate tech, and B2B marketplaces. We invest $50–200K via SAFE, support US market expansion, and connect founders to global capital and expert networks.","We’re hands-on partners from day one — providing strategic audits, go-to-market support, coaching, and access to top-tier mentors and global investors. We specialize in helping Ukrainian founders succeed on the US market.",,,https://www.openvc.app/fund/ZAS%20Ventures,venture-capital-firms
Section 32,VC firm,"Canada, India",$10k to $10M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in information technology, healthcare, and life sciences innovations.",,,,https://www.openvc.app/fund/Section%2032,venture-capital-firms
Scale Capital (Den...,VC firm,"Denmark, Sweden",$500k to $3M,"3. Early Revenue, 4. Scaling",Sometimes,"We invest in Nordic & German B2B tech companies within Enterprise Software, SaaS and DeepTech looking to scale and win in the US market.","Extensive commercial experience, as well as a proven track-record of bringing 15+ Nordic & German startups to the US market successful.",,,https://www.openvc.app/fund/Scale%20Capital%20%28Denmark%29,venture-capital-firms
Lerer Hippeau,VC firm,"Canada, France",$100k to $3M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in companies across both the enterprise and consumer sectors.,,,,https://www.openvc.app/fund/Lerer%20Hippeau,venture-capital-firms
Fund Fashion VC,VC firm,"Nigeria, USA",$1k to $1k,"1. Idea or Patent, 2. Prototype",Always,"We invest in companies empowering Africa’s creative economy through fashion innovation. We back early-stage startups using AI, AR/VR, Web3, and SaaS solutions to drive sustainability, supply chain efficiency, and digital commerce. We invest in visionary founders merging fashion, culture, and technology to build scalable, impact-driven businesses that redefine the future of Africa’s fashion ecosystem.","We support our portfolio companies beyond funding. With our next investment pool, we provide hands-on mentorship, business development guidance, and access to industry networks. We connect founders to fashion accelerators, innovation hubs, and potential investors while helping refine their business models, go-to-market strategies, and sustainability practices. Our focus is to nurture early-stage founders with limited resources into scalable, investment-ready brands.",,,https://www.openvc.app/fund/Fund%20Fashion%20VC,venture-capital-firms
Goat Capital,VC firm,"India, Indonesia",$50k to $3M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in early-stage companies, with a focus on business development.",,,,https://www.openvc.app/fund/Goat%20Capital,venture-capital-firms
Las Olas Venture C...,VC firm,USA,$200k to $2M,"3. Early Revenue, 4. Scaling",Always,We invest in US-based B2B vertical software and software-enabled marketplaces with early signs of product/market fit.,"At LOVC, we love backing founders who are replacing outdated legacy systems in fragmented industries. As former operators ourselves, we pride ourselves on being value-add investors—we move quickly and don’t waste your time. We typically help our portfolio companies with sales, recruiting, fundraising, and overall growth strategy.",,,https://www.openvc.app/fund/Las%20Olas%20Venture%20Capital,venture-capital-firms
Maine Venture Fund,VC firm,USA,$100k to $300k,"3. Early Revenue, 4. Scaling",Sometimes,We invest in companies.,,,,https://www.openvc.app/fund/Maine%20Venture%20Fund,venture-capital-firms
Maverick Ventures,VC firm,"China, Denmark",$100k to $5M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in early-stage healthcare and technology-driven businesses.,,,,https://www.openvc.app/fund/Maverick%20Ventures,venture-capital-firms
Navivo Capital,VC firm,"Germany, France",$1M to $2.5M,"3. Early Revenue, 4. Scaling",Always,"We invest in CEE-based companies with a proven product and help them go global. (fintech, IoT, SaaS, deeptech, hardware, AI, data platforms, advanced manufacturing, Advanced materials, robotics)","We offer complete unique VC package of flexible capital, entrepreneurial and investment experience.",,,https://www.openvc.app/fund/Navivo%20Capital,venture-capital-firms
Hetz Ventures,VC firm,"Israel, Mexico",$100k to $10M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in deep technology startups.,,,,https://www.openvc.app/fund/Hetz%20Ventures,venture-capital-firms
Abingworth,VC firm,"Canada, Denmark",$15M to $30M,"3. Early Revenue, 4. Scaling",Sometimes,"We invest in biotech, diagnostics, life sciences, and medical devices.",,,,https://www.openvc.app/fund/Abingworth,venture-capital-firms
Embark Ventures,VC firm,USA,$250k to $2M,"2. Prototype, 3. Early Revenue",Never,"We invest in deep tech, including fintech solutions.",,,,https://www.openvc.app/fund/Embark%20Ventures,venture-capital-firms
PurposeTech,VC firm,"Poland, Belarus",$10k to $250k,"1. Idea or Patent, 2. Prototype",Sometimes,"We invest in impact-oriented startups. Some fields are sustainable technology, climate technology, green technology, digital health, education technology, waste reduction, carbon reduction, agriculture technology, etc.","We invest super early.
As the initial investors in the startups we support, we participate in angel or pre-seed rounds. We frequently collaborate with other funds and angels, and act as the lead investor where required.

We are very hands-on.
We devote several hours per week to each of our startups, primarily assisting them in building an investable MVP with adequate traction. We are structured, evidence-based and always absolutely honest.

We open doors.
Our close partnership with the Impact Hub(<https://impacthub.net/>) grants us access to a vast network of entrepreneurs, experts, and decision-makers. As a result, we provide introductions and open doors for our startups regularly.",,,https://www.openvc.app/fund/PurposeTech,venture-capital-firms
Launchpad Capital,VC firm,"Lithuania, USA",$100k to $5M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in finance, insurance, real estate.",,,,https://www.openvc.app/fund/Launchpad%20Capital,venture-capital-firms
ShangBay Capital,VC firm,USA,$100k to $1M,"1. Idea or Patent, 2. Prototype",Sometimes,We Invest in early stage medtech targeting unmet clinical needs/significantly improving on current standard of care,"Our firm adds value by leveraging deep industry expertise, strong partnerships with leading strategics and VCs, and a proven track record to help portfolio companies navigate multiple pathways to success. We offer precise deal access and hands-on support from a team of seasoned entrepreneurs and healthcare executives.",,,https://www.openvc.app/fund/ShangBay%20Capital,venture-capital-firms
Plumule Advisory,VC firm,"Nigeria, Kenya",$50k to $200k,"3. Early Revenue, 4. Scaling",Never,"We invest across 8 verticals including FinTech, HealthTech, EdTech, Logistics, Mobility, Marketplaces, B2B SaaS","We focus on founders solving the most critical problems in large markets. Through our expertise, we support start-ups in refining strategies, navigating challenges, and maximizing their growth potential. Through our extensive network of co-investors who participate in subsequent financing rounds, we empower our portfolio companies to uncover new revenue streams, reach first-time clients, and expand into previously untapped markets.",,,https://www.openvc.app/fund/Plumule%20Advisory,venture-capital-firms
She Capital,VC firm,India,$500k to $900k,"3. Early Revenue, 4. Scaling",Sometimes,"We invest in fintech, deep tech, web3, consumer tech, consumer SaaS, longevity, health tech, and consumer brands making products for the global consumer.","We support our portfolio companies beyond capital through strategic guidance, operational support, customer and vendor introductions, marketing assistance, and access to our network. We also help founders prepare for future fundraising by providing investor introductions and ongoing mentorship to support long-term growth.",,,https://www.openvc.app/fund/She%20Capital,venture-capital-firms
City Light Capital,VC firm,"Canada, USA",$50k to $4M,"2. Prototype, 3. Early Revenue",Never,"We invest in impactful companies across education, the environment, and social impact.",,,,https://www.openvc.app/fund/City%20Light%20Capital,venture-capital-firms
Entrée Capital,VC firm,"Australia, Brazil",$150k to $15M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in multi-stage startups and companies globally, with a focus on enterprise and infrastructure.",,,,https://www.openvc.app/fund/Entr%C3%A9e%20Capital,venture-capital-firms
Anorak Ventures,VC firm,"Canada, Denmark",$50k to $400k,"2. Prototype, 3. Early Revenue",Never,We invest in transformative technologies and visionary individuals at their earliest stages.,,,,https://www.openvc.app/fund/Anorak%20Ventures,venture-capital-firms
Hemi Ventures,VC firm,"China, Taiwan",$250k to $500k,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in deep technology companies focused on autonomous vehicles, artificial intelligence, and biotech.",,,,https://www.openvc.app/fund/Hemi%20Ventures,venture-capital-firms
Sunsino Venture Gr...,VC firm,"USA, Hong Kong",$200k to $2M,"1. Idea or Patent, 2. Prototype",Sometimes,"We invest in AI, IOT, Medtech, ESG startups with working demos & MVP validated by reputable player from the relevant industry and/or initial sales.","With 30 years of experience in venture investment, we understand the challenges startups face in the early stages. Our team go beyond capital, bringing a wealth of network and expertise to the table. In the meantime, our proprietary platform, STARTUP101, is an exclusive and unique tools for entrepreneurs to grow their businesses.",,,https://www.openvc.app/fund/Sunsino%20Venture%20Group,venture-capital-firms
Clout Capital,VC firm,"Chile, Mexico",$100k to $5M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in tech.,,,,https://www.openvc.app/fund/Clout%20Capital,venture-capital-firms
TRAC,VC firm,"Canada, USA",$250k to $1M,"2. Prototype, 3. Early Revenue",Never,We invest in companies leveraging data for insights.,,,,https://www.openvc.app/fund/TRAC,venture-capital-firms
Nine Four Ventures,VC firm,"Australia, Canada",$250k to $20M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in PropTech solutions.,,,,https://www.openvc.app/fund/Nine%20Four%20Ventures,venture-capital-firms
Glasswing Ventures,VC firm,"Canada, USA",$100k to $5M,"1. Idea or Patent, 2. Prototype",Always,"We invest in early-stage founders building AI-native and Frontier Tech companies for the enterprise B2B and cybersecurity markets. We invest in areas such as Vertical AI, Physical AI, AI-adaptive infrastructure, intelligent enterprise defense, collaborative intelligence platforms, and next-gen compute.","Glasswing Ventures' internal team mirrors the end-to-end C-suite of a successful Frontier Tech company. Combined with the expertise of the firm's 60+ exclusive advisors, the firm's founders have access to unparalled levels of knowledge and resources. The firm makes hundreds of talen and customer introductions annually.",,,https://www.openvc.app/fund/Glasswing%20Ventures,venture-capital-firms
Kirenaga Partners,VC firm,USA,$1M to $3M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in early stage companies.,,,,https://www.openvc.app/fund/Kirenaga%20Partners,venture-capital-firms
PI Ventures,VC firm,India,$250k to $2M,"1. Idea or Patent, 2. Prototype",Always,"We invest in Artificial Intelligence, Machine Intelligence & IoT, as we rapidly see hardware and software products coming together using artificial and machine intelligence to create disruptive ventures across multiple sectors","Leading deeptech investments in India , having backed companies like AgniKul, Pixis, Niramai speaks for itself",,,https://www.openvc.app/fund/PI%20Ventures,venture-capital-firms
Lukkap Venture Lab,VC firm,Spain,$50k to $150k,"1. Idea or Patent, 2. Prototype",Sometimes,"We invest in early stage startups that have already developed a product with a market fit. Our pre-money valuation limit is around $4M. 
We invest in all kind of industries, except crypto, web3 and similar.","We help in 4 ways:
1- Money, as every other VC (tickets of approximately 150k)
2- Consulting firm resources, meaning guidance from top partners, directors and managers with specific expertise in different fields or business challenges
3-  Consulting firm network, connecting our extensive base of clients and partners with our startups (C-level executives from all kind of companies)
4- Central services, helping with recruitment, finance, accounting...",,,https://www.openvc.app/fund/Lukkap%20Venture%20Lab,venture-capital-firms
Quadrille Capital,VC firm,"Austria, Canada",$100k to $5M,"4. Scaling, 5. Growth",Sometimes,We invest in diverse opportunities.,,,,https://www.openvc.app/fund/Quadrille%20Capital,venture-capital-firms
Euclid Ventures,VC firm,"Canada, USA",$500k to $1M,"1. Idea or Patent, 2. Prototype",Always,"We invest in Vertical Software, Marketplaces, and Platforms. High-focus on founder-market fit.","Partners from day zero, we bring dedicated expertise, capital, and network to help domain experts build the industry platforms of the future.",,,https://www.openvc.app/fund/Euclid%20Ventures,venture-capital-firms
Initialized Capita...,VC firm,"Canada, Estonia",$1M to $7M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in early-stage software companies.,,,,https://www.openvc.app/fund/Initialized%20Capital,venture-capital-firms
Spiral Ventures,VC firm,"India, Indonesia",$100k to $1M,"3. Early Revenue, 2. Prototype",Never,"We invest in Pre-Seed up to Series A round. Sectors that we have invested in: E-Commerce, Marketplace, FinTech, HealthTech, Supply Chain, Manufacturing as a Service, B2B/Enterprise Solution, SaaS, Consumer Platform, etc.","We help bringing Japanese clients and strategic investors to our portfolio companies, and provide support to go public in Tokyo Stock Exchange.",,,https://www.openvc.app/fund/Spiral%20Ventures,venture-capital-firms
Combine,VC firm,"Netherlands, USA",$100k to $10M,"2. Prototype, 3. Early Revenue",Never,We invest in product design.,,,,https://www.openvc.app/fund/Combine,venture-capital-firms
Far Out Ventures,VC firm,"USA, Canada",$200k to $500k,"3. Early Revenue, 2. Prototype",Sometimes,"We invest in: 
-Venture Scale: clear potential to reach $100M+ revenue in 5-7 years
-Stage: Pre-Seed and Seed
-Business Model: Software (Marketplace, Enterprise & Vertical SaaS, FinTech)
-Sectors: B2B (or B2B2C Marketplaces)
-Geographies: United States, Canada, Latin America
-Check Size: $250-500K (Pre-Seed); $500-750K (Seed)
-Target Ownership: 5% at entry (2.5% minimum)
-Post-Money Valuation: $15M maximum at entry; <$10M strongly preferred
-Non-consensus: traditionally overlooked founders (background, geo, market)
-Lead: we don't lead rounds in the traditional sense, but we often help structure and/or write the largest check in pre-seed rounds","We apply a hands-on approach to coach and mentor founders from pre-revenue through Series A on all things product, go-to-market, talent, and leadership.",,,https://www.openvc.app/fund/Far%20Out%20Ventures,venture-capital-firms
Aviso Ventures,VC firm,"Canada, USA",$100k to $5M,"3. Early Revenue, 4. Scaling",Never,We invest in a wide range of opportunities.,,,,https://www.openvc.app/fund/Aviso%20Ventures,venture-capital-firms
DOMiNO Ventures,VC firm,"Azerbaijan, Kazakhstan",$100k to $1M,"2. Prototype, 3. Early Revenue",Always,"We invest in founders who are solving new problems of the modern world in AI, Deeptech, Cleantech, Healthtech, Fintech, Hrtech, Edtech, Gametech, Cybersecurity and Life Science.","We believe our focus region and its diaspora offer an outstanding talent pool and we help them realize their global ambitions to create DOMiNO Effect for Better Future. We are backing founders who are solving new problems of the modern world in AI, Deeptech, Cleantech and beyond.",,,https://www.openvc.app/fund/DOMiNO%20Ventures,venture-capital-firms
Virtual Network,VC firm,"Switzerland, USA",$50k to $250k,"1. Idea or Patent, 2. Prototype",Never,"We invest in companies with a strong competitive advantage, scalable and validated business model. B2B SaaS, Fintech, Blockchain, AI, crypto, Web3.",We bring more than 25 years of experience in the digital sector.,,,https://www.openvc.app/fund/Virtual%20Network,venture-capital-firms
Golden Section Ven...,VC firm,"USA, Mexico",$250k to $4M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in B2B SaaS companies with $1M+ ARR,"We support founders by providing technical development expertise, proprietary financial analysis software, and strategy for exit opportunities.",,,https://www.openvc.app/fund/Golden%20Section%20Ventures,venture-capital-firms
Revent,VC firm,"Germany, France",$100k to $4M,"1. Idea or Patent, 2. Prototype",Sometimes,We invest in Climate Energy Empowerment Education Health,"We gather a community of purpose-led founders, investors and scientists to drive systemic change in climate, healthcare, education and finance. 
 
Our role is to provide founders the platform to succeed, supporting them with capital, relevant networks and an aligned mission.",,,https://www.openvc.app/fund/Revent,venture-capital-firms
Moore Venture Part...,VC firm,USA,$250k to $1M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in technology and life science companies.,,,,https://www.openvc.app/fund/Moore%20Venture%20Partners,venture-capital-firms
Riso Capital,VC firm,"India, USA",$100k to $5M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in promising startups and help them expand into global markets.,,,,https://www.openvc.app/fund/Riso%20Capital,venture-capital-firms
Supermoon Capital,VC firm,"Germany, Israel",$250k to $2.5M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in innovations within the sleep market.,,,,https://www.openvc.app/fund/Supermoon%20Capital,venture-capital-firms
Blueprint Ventures...,VC firm,"Singapore, South Korea",$250k to $1M,"2. Prototype, 3. Early Revenue",Sometimes,"Blueprint Ventures is an early-stage venture capital firm investing in Consumer AI and CPG businesses, backing founders building generation-defining companies","We actively support our companies to expand regionally, across APAC, and ultimately globally. Often being the first institutional cheque, we support our companies in their evolution into a scale-up, through strategic support on how to build their brand, implementing best-in-class governance and on their fundraising strategies.",,,https://www.openvc.app/fund/Blueprint%20Ventures%20%28SG%29,venture-capital-firms
TVP,VC firm,USA,$100k to $5M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in early-stage startups focused on Bitcoin and Lightning Network technologies, as well as those leveraging artificial intelligence, cryptocurrency, cybersecurity, machine learning, and SaaS.",,,,https://www.openvc.app/fund/TVP,venture-capital-firms
Clout Capital,VC firm,"Chile, Mexico",$100k to $5M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in tech.,,,,https://www.openvc.app/fund/Clout%20Capital,venture-capital-firms
Goose Capital,VC firm,"Canada, Germany",$250k to $5M,"3. Early Revenue, 4. Scaling",Sometimes,"We are agnostic, but focus on pre-seed to series A with investors who we know have the ability to make strong decisions, lead as CEO's and commercialize their company to the point of a strong exit.","We are a group of former Fortune 500 CEO's or successful founders that can provide deep industry expertise and support in the growth of your firm. We not only have the ability to lead rounds, but consider follow-ons as well.",,,https://www.openvc.app/fund/Goose%20Capital,venture-capital-firms
Rainfall Ventures,VC firm,"Brazil, Canada",$100k to $1M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest as an early-stage, generalist investor, partnering with founders to drive industry transformation.",,,,https://www.openvc.app/fund/Rainfall%20Ventures,venture-capital-firms
